customerID,Contract,PaperlessBilling,PaymentMethod
7590-VHVEG,Month-to-month,1,Electronic check
5575-GNVDE,One year,0,Mailed check
3668-QPYBK,Month-to-month,1,Mailed check
7795-CFOCW,One year,0,Bank transfer (automatic)
9237-HQITU,Month-to-month,1,Electronic check
9305-CDSKC,Month-to-month,1,Electronic check
1452-KIOVK,Month-to-month,1,Credit card (automatic)
6713-OKOMC,Month-to-month,0,Mailed check
7892-POOKP,Month-to-month,1,Electronic check
6388-TABGU,One year,0,Bank transfer (automatic)
9763-GRSKD,Month-to-month,1,Mailed check
7469-LKBCI,Two year,0,Credit card (automatic)
8091-TTVAX,One year,0,Credit card (automatic)
0280-XJGEX,Month-to-month,1,Bank transfer (automatic)
5129-JLPIS,Month-to-month,1,Electronic check
3655-SNQYZ,Two year,0,Credit card (automatic)
8191-XWSZG,One year,0,Mailed check
9959-WOFKT,Two year,0,Bank transfer (automatic)
4190-MFLUW,Month-to-month,0,Credit card (automatic)
4183-MYFRB,Month-to-month,1,Electronic check
8779-QRDMV,Month-to-month,1,Electronic check
1680-VDCWW,One year,0,Bank transfer (automatic)
1066-JKSGK,Month-to-month,0,Mailed check
3638-WEABW,Two year,1,Credit card (automatic)
6322-HRPFA,Month-to-month,0,Credit card (automatic)
6865-JZNKO,Month-to-month,1,Bank transfer (automatic)
6467-CHFZW,Month-to-month,1,Electronic check
8665-UTDHZ,Month-to-month,0,Electronic check
5248-YGIJN,Two year,1,Credit card (automatic)
8773-HHUOZ,Month-to-month,1,Mailed check
3841-NFECX,Two year,1,Credit card (automatic)
4929-XIHVW,Month-to-month,1,Credit card (automatic)
6827-IEAUQ,One year,0,Mailed check
7310-EGVHZ,Month-to-month,0,Bank transfer (automatic)
3413-BMNZE,Month-to-month,0,Bank transfer (automatic)
6234-RAAPL,Two year,0,Bank transfer (automatic)
6047-YHPVI,Month-to-month,1,Electronic check
6572-ADKRS,Month-to-month,1,Credit card (automatic)
5380-WJKOV,Month-to-month,1,Electronic check
8168-UQWWF,Month-to-month,1,Bank transfer (automatic)
8865-TNMNX,One year,0,Mailed check
9489-DEDVP,Two year,1,Credit card (automatic)
9867-JCZSP,One year,0,Mailed check
4671-VJLCL,Two year,1,Credit card (automatic)
4080-IIARD,Month-to-month,1,Electronic check
3714-NTNFO,Month-to-month,1,Electronic check
5948-UJZLF,Month-to-month,0,Mailed check
7760-OYPDY,Month-to-month,1,Electronic check
7639-LIAYI,Two year,1,Credit card (automatic)
2954-PIBKO,Two year,1,Credit card (automatic)
8012-SOUDQ,Month-to-month,1,Electronic check
9420-LOJKX,Month-to-month,1,Credit card (automatic)
6575-SUVOI,Month-to-month,1,Credit card (automatic)
7495-OOKFY,Month-to-month,1,Credit card (automatic)
4667-QONEA,One year,1,Credit card (automatic)
1658-BYGOY,Month-to-month,1,Electronic check
8769-KKTPH,One year,1,Credit card (automatic)
5067-XJQFU,One year,1,Electronic check
3957-SQXML,Two year,0,Credit card (automatic)
5954-BDFSG,Two year,1,Credit card (automatic)
0434-CSFON,Month-to-month,1,Electronic check
1215-FIGMP,Month-to-month,1,Bank transfer (automatic)
0526-SXDJP,Two year,0,Bank transfer (automatic)
0557-ASKVU,One year,1,Credit card (automatic)
5698-BQJOH,Month-to-month,0,Electronic check
5122-CYFXA,Month-to-month,1,Electronic check
8627-ZYGSZ,One year,1,Electronic check
3410-YOQBQ,Two year,0,Mailed check
3170-NMYVV,Two year,0,Bank transfer (automatic)
7410-OIEDU,Month-to-month,1,Mailed check
2273-QCKXA,Month-to-month,0,Mailed check
0731-EBJQB,One year,1,Electronic check
1891-QRQSA,Two year,1,Bank transfer (automatic)
8028-PNXHQ,Two year,1,Bank transfer (automatic)
5630-AHZIL,Month-to-month,1,Bank transfer (automatic)
2673-CXQEU,One year,0,Electronic check
6416-JNVRK,One year,0,Credit card (automatic)
5590-ZSKRV,Month-to-month,0,Mailed check
0191-ZHSKZ,Month-to-month,1,Electronic check
3887-PBQAO,One year,1,Credit card (automatic)
5919-TMRGD,Month-to-month,1,Electronic check
8108-UXRQN,Month-to-month,0,Electronic check
9191-MYQKX,Month-to-month,1,Bank transfer (automatic)
9919-YLNNG,Month-to-month,1,Bank transfer (automatic)
0318-ZOPWS,Two year,1,Bank transfer (automatic)
4445-ZJNMU,Month-to-month,1,Credit card (automatic)
4808-YNLEU,One year,1,Bank transfer (automatic)
1862-QRWPE,Two year,0,Bank transfer (automatic)
2796-NNUFI,Two year,1,Mailed check
3016-KSVCP,Month-to-month,0,Mailed check
4767-HZZHQ,Month-to-month,0,Bank transfer (automatic)
2424-WVHPL,Month-to-month,0,Electronic check
7233-PAHHL,Two year,1,Mailed check
6067-NGCEU,Month-to-month,1,Credit card (automatic)
9848-JQJTX,Two year,1,Bank transfer (automatic)
8637-XJIVR,Month-to-month,1,Electronic check
9803-FTJCG,One year,1,Credit card (automatic)
0278-YXOOG,Month-to-month,0,Mailed check
3212-KXOCR,Two year,0,Bank transfer (automatic)
4598-XLKNJ,Month-to-month,1,Electronic check
6380-ARCEH,Month-to-month,0,Mailed check
3679-XASPY,Month-to-month,0,Electronic check
7123-WQUHX,One year,0,Bank transfer (automatic)
5386-THSLQ,One year,0,Bank transfer (automatic)
3192-NQECA,Two year,1,Bank transfer (automatic)
6180-YBIQI,Month-to-month,0,Mailed check
6728-DKUCO,One year,1,Electronic check
9750-BOOHV,One year,0,Mailed check
8597-CWYHH,One year,0,Mailed check
2848-YXSMW,Two year,0,Credit card (automatic)
0486-HECZI,Month-to-month,1,Electronic check
4549-ZDQYY,One year,0,Credit card (automatic)
5712-AHQNN,Month-to-month,1,Electronic check
4846-WHAFZ,Month-to-month,1,Electronic check
5256-SKJGO,Two year,1,Electronic check
3071-VBYPO,Month-to-month,0,Electronic check
9560-BBZXK,Two year,0,Bank transfer (automatic)
5299-RULOA,Month-to-month,1,Electronic check
8402-OOOHJ,Two year,0,Mailed check
9445-ZUEQE,Month-to-month,1,Credit card (automatic)
1091-SOZGA,One year,1,Credit card (automatic)
2928-HLDBA,Month-to-month,0,Mailed check
0404-SWRVG,Month-to-month,1,Electronic check
6497-TILVL,Month-to-month,0,Mailed check
7219-TLZHO,Month-to-month,0,Mailed check
4622-YNKIJ,Two year,1,Electronic check
4412-YLTKF,Month-to-month,1,Electronic check
6734-PSBAW,Two year,1,Bank transfer (automatic)
3930-ZGWVE,Month-to-month,0,Mailed check
2639-UGMAZ,One year,1,Electronic check
2876-GZYZC,Month-to-month,1,Electronic check
6207-WIOLX,Month-to-month,1,Credit card (automatic)
8587-XYZSF,Two year,0,Bank transfer (automatic)
3091-FYHKI,Month-to-month,1,Electronic check
2372-HWUHI,Month-to-month,0,Electronic check
7799-LGRDP,Two year,1,Credit card (automatic)
7850-VWJUU,Month-to-month,1,Bank transfer (automatic)
3774-VBNXY,Two year,0,Mailed check
6217-KDYWC,Two year,1,Mailed check
0390-DCFDQ,Month-to-month,1,Mailed check
3146-MSEGF,Two year,1,Credit card (automatic)
4080-OGPJL,Month-to-month,0,Electronic check
1095-WGNGG,Two year,1,Bank transfer (automatic)
2636-SJDOU,One year,1,Credit card (automatic)
1131-QQZEB,Two year,0,Bank transfer (automatic)
5716-EZXZN,Two year,1,Credit card (automatic)
6837-BJYDQ,One year,0,Mailed check
2135-RXIHG,Month-to-month,1,Electronic check
6440-DKQGE,One year,0,Credit card (automatic)
3466-BYAVD,Month-to-month,1,Mailed check
3780-YVMFA,Month-to-month,1,Electronic check
3874-EQOEP,Month-to-month,0,Mailed check
1679-JRFBR,One year,1,Credit card (automatic)
9073-ZZIAY,Two year,0,Electronic check
3077-RSNTJ,Month-to-month,0,Mailed check
6551-GNYDG,Month-to-month,1,Bank transfer (automatic)
9167-APMXZ,Month-to-month,1,Bank transfer (automatic)
2749-CTKAJ,One year,0,Mailed check
6371-NZYEG,Two year,0,Mailed check
7554-NEWDD,Two year,0,Bank transfer (automatic)
8992-VONJD,Month-to-month,1,Electronic check
0867-MKZVY,Month-to-month,0,Electronic check
4482-EWFMI,Month-to-month,1,Electronic check
4648-YPBTM,Two year,1,Bank transfer (automatic)
2907-ILJBN,One year,0,Mailed check
6345-FZOQH,Two year,0,Mailed check
3376-BMGFE,Month-to-month,1,Bank transfer (automatic)
5997-OPVFA,Two year,1,Bank transfer (automatic)
3445-HXXGF,Month-to-month,1,Electronic check
1159-WFSGR,Month-to-month,0,Electronic check
7654-YWJUF,One year,1,Bank transfer (automatic)
1875-QIVME,Month-to-month,1,Electronic check
6727-IOTLZ,Two year,0,Mailed check
0691-JVSYA,One year,1,Bank transfer (automatic)
5918-VUKWP,One year,0,Bank transfer (automatic)
1744-JHKYS,Month-to-month,0,Electronic check
2656-FMOKZ,Month-to-month,1,Mailed check
2070-FNEXE,Month-to-month,0,Bank transfer (automatic)
5947-SGKCL,Month-to-month,1,Bank transfer (automatic)
3712-PKXZA,One year,1,Credit card (automatic)
6317-YPKDH,Month-to-month,0,Bank transfer (automatic)
6582-OIVSP,Month-to-month,0,Mailed check
9367-WXLCH,Month-to-month,0,Bank transfer (automatic)
5524-KHNJP,One year,0,Credit card (automatic)
1918-ZBFQJ,Month-to-month,1,Electronic check
1024-GUALD,Month-to-month,1,Electronic check
4827-USJHP,Month-to-month,1,Mailed check
8167-GJLRN,Month-to-month,0,Electronic check
0956-SYCWG,One year,0,Electronic check
8017-UVSZU,Month-to-month,0,Credit card (automatic)
7100-FQPRV,One year,1,Credit card (automatic)
2472-OVKUP,Month-to-month,1,Electronic check
2984-RGEYA,Two year,0,Bank transfer (automatic)
9680-NIAUV,Two year,0,Credit card (automatic)
2146-EGVDT,Two year,0,Credit card (automatic)
2604-IJPDU,Month-to-month,1,Electronic check
9178-JHUVJ,Two year,1,Bank transfer (automatic)
6168-YBYNP,Month-to-month,1,Electronic check
7255-SSFBC,Two year,1,Bank transfer (automatic)
3645-DEYGF,Month-to-month,0,Mailed check
9323-HGFWY,One year,1,Credit card (automatic)
8544-GOQSH,Month-to-month,1,Credit card (automatic)
3363-DTIVD,Two year,0,Electronic check
7018-WBJNK,Month-to-month,1,Credit card (automatic)
9142-KZXOP,Month-to-month,0,Credit card (automatic)
7674-YTAFD,One year,1,Bank transfer (automatic)
6348-SNFUS,Two year,1,Credit card (automatic)
1285-OKIPP,Month-to-month,0,Electronic check
7825-ECJRF,Month-to-month,1,Electronic check
1347-KTTTA,One year,1,Credit card (automatic)
7841-TZDMQ,Month-to-month,1,Credit card (automatic)
4195-NZGTA,Month-to-month,0,Electronic check
7157-SMCFK,Two year,0,Mailed check
4709-LKHYG,One year,0,Electronic check
2504-DSHIH,Month-to-month,0,Electronic check
0699-NDKJM,Month-to-month,1,Bank transfer (automatic)
9286-BHDQG,Two year,0,Credit card (automatic)
0230-WEQUW,Two year,1,Bank transfer (automatic)
2040-LDIWQ,Two year,1,Bank transfer (automatic)
6496-JDSSB,Month-to-month,1,Bank transfer (automatic)
9408-SSNVZ,Month-to-month,1,Electronic check
4443-EMBNA,Two year,0,Bank transfer (automatic)
6469-MRVET,One year,1,Electronic check
0742-MOABM,Month-to-month,0,Mailed check
5961-VUSRV,One year,1,Bank transfer (automatic)
6778-JFCMK,One year,1,Mailed check
6341-JVQGF,One year,1,Mailed check
2232-DMLXU,Month-to-month,0,Mailed check
4811-JBUVU,Month-to-month,1,Credit card (automatic)
0945-TSONX,Two year,1,Credit card (automatic)
2651-ZCBXV,Two year,1,Credit card (automatic)
3316-UWXUY,Month-to-month,1,Credit card (automatic)
8937-RDTHP,Month-to-month,1,Mailed check
7083-MIOPC,Two year,0,Credit card (automatic)
1984-GPTEH,Month-to-month,0,Electronic check
1251-KRREG,Month-to-month,1,Mailed check
0621-JFHOL,Two year,1,Mailed check
9903-LYSAB,Month-to-month,1,Electronic check
0094-OIFMO,Month-to-month,1,Electronic check
9227-UAQFT,Two year,0,Mailed check
7301-ABVAD,Two year,0,Bank transfer (automatic)
6614-FHDBO,Two year,0,Bank transfer (automatic)
7576-ASEJU,One year,1,Credit card (automatic)
9058-HRZSV,Month-to-month,0,Electronic check
4522-AKYLR,Month-to-month,1,Electronic check
0221-WMXNQ,Month-to-month,0,Electronic check
0303-UNCIP,One year,0,Mailed check
9947-OTFQU,Month-to-month,1,Electronic check
0322-YINQP,Month-to-month,1,Mailed check
0959-WHOKV,One year,1,Electronic check
4075-JFPGR,One year,1,Electronic check
4629-NRXKX,Month-to-month,0,Electronic check
9514-JDSKI,Month-to-month,0,Electronic check
3282-ZISZV,One year,0,Credit card (automatic)
3675-YDUPJ,Month-to-month,1,Mailed check
4111-BNXIF,Two year,1,Electronic check
7017-VFHAY,Two year,0,Credit card (automatic)
6655-LHBYW,One year,0,Credit card (automatic)
4959-JOSRX,Month-to-month,1,Credit card (automatic)
5046-NUHWD,Month-to-month,1,Electronic check
7273-TEFQD,Month-to-month,1,Electronic check
3606-TWKGI,Month-to-month,1,Electronic check
7529-ZDFXI,Month-to-month,1,Electronic check
7605-BDWDC,Two year,1,Bank transfer (automatic)
1950-KSVVJ,One year,0,Mailed check
0123-CRBRT,Two year,0,Mailed check
6292-TOSSS,Two year,0,Bank transfer (automatic)
3197-ARFOY,Month-to-month,1,Mailed check
6323-AYBRX,Two year,0,Mailed check
7014-ZZXAW,Two year,1,Credit card (automatic)
4385-GZQXV,Month-to-month,1,Electronic check
7633-MVPUY,Two year,1,Electronic check
6366-ZGQGL,Month-to-month,0,Bank transfer (automatic)
4716-HHKQH,Month-to-month,0,Electronic check
5940-AHUHD,Month-to-month,0,Mailed check
6432-TWQLB,Month-to-month,1,Electronic check
4484-GLZOU,Month-to-month,1,Electronic check
3179-GBRWV,Month-to-month,1,Bank transfer (automatic)
8645-KWHJO,Month-to-month,1,Electronic check
4130-MZLCC,Month-to-month,0,Bank transfer (automatic)
0314-TKOSI,Month-to-month,0,Mailed check
8229-MYEJZ,Month-to-month,0,Electronic check
2080-SRCDE,Month-to-month,0,Mailed check
9577-WJVCQ,Month-to-month,0,Mailed check
9512-UIBFX,Month-to-month,0,Mailed check
6202-DYYFX,One year,1,Credit card (automatic)
3808-HFKDE,Month-to-month,1,Electronic check
5583-SXDAG,Month-to-month,0,Electronic check
3488-PGMQJ,Month-to-month,1,Electronic check
3580-REOAC,Month-to-month,1,Credit card (automatic)
7534-BFESC,Month-to-month,1,Electronic check
3727-OWVYD,One year,0,Mailed check
2294-SALNE,One year,0,Mailed check
