customerID,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies
7590-VHVEG,0,No phone service,DSL,No,Yes,No,No,No,No
5575-GNVDE,1,No,DSL,Yes,No,Yes,No,No,No
3668-QPYBK,1,No,DSL,Yes,Yes,No,No,No,No
7795-CFOCW,0,No phone service,DSL,Yes,No,Yes,Yes,No,No
9237-HQITU,1,No,Fiber optic,No,No,No,No,No,No
9305-CDSKC,1,Yes,Fiber optic,No,No,Yes,No,Yes,Yes
1452-KIOVK,1,Yes,Fiber optic,No,Yes,No,No,Yes,No
6713-OKOMC,0,No phone service,DSL,Yes,No,No,No,No,No
7892-POOKP,1,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes
6388-TABGU,1,No,DSL,Yes,Yes,No,No,No,No
9763-GRSKD,1,No,DSL,Yes,No,No,No,No,No
7469-LKBCI,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
8091-TTVAX,1,Yes,Fiber optic,No,No,Yes,No,Yes,Yes
0280-XJGEX,1,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes
5129-JLPIS,1,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes
3655-SNQYZ,1,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes
8191-XWSZG,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
9959-WOFKT,1,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes
4190-MFLUW,1,No,DSL,No,No,Yes,Yes,No,No
4183-MYFRB,1,No,Fiber optic,No,Yes,Yes,No,No,Yes
8779-QRDMV,0,No phone service,DSL,No,No,Yes,No,No,Yes
1680-VDCWW,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
1066-JKSGK,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
3638-WEABW,1,Yes,DSL,No,Yes,No,Yes,No,No
6322-HRPFA,1,No,DSL,Yes,Yes,No,Yes,No,No
6865-JZNKO,1,No,DSL,Yes,Yes,No,No,No,No
6467-CHFZW,1,Yes,Fiber optic,No,Yes,No,No,Yes,Yes
8665-UTDHZ,0,No phone service,DSL,No,Yes,No,No,No,No
5248-YGIJN,1,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes
